央视频道,#genre#
中国天气,http://116.236.204.18:1234/959986621
中国天气,http://116.52.173.144:1234/959986621
CCTV中学生,http://222.94.115.176:52343/708869532
CCTV中学生,http://110.154.192.30:7788/708869532
CCTV中学生,http://116.236.204.18:1234/708869532
CCTV中学生,http://223.247.25.217:1234/708869532
CCTV中学生,http://116.52.173.144:1234/708869532
CETV1,http://120.76.248.139/live/bfgd/4200000135.m3u8
CETV1,http://222.94.115.176:52343/923287154
CETV1,http://110.154.192.30:7788/923287154
CETV1,http://223.247.25.217:1234/923287154
CETV1,http://116.236.204.18:1234/923287154
CETV2,http://120.76.248.139/live/bfgd/4200000492.m3u8
CETV2,http://222.94.115.176:52343/923287211
CETV2,http://110.154.192.30:7788/923287211
CETV2,http://116.236.204.18:1234/923287211
CETV2,http://223.247.25.217:1234/923287211
CETV4,http://222.94.115.176:52343/923287339
CETV4,http://110.154.192.30:7788/923287339
CETV4,http://223.247.25.217:1234/923287339
CETV4,http://116.52.173.144:1234/923287339
CETV4,http://59.110.175.70:10000/923287339
卫视频道,#genre#
重温经典,http://8.138.7.223/tv/cwjd.php
凤凰卫视中文台,http://115.44.140.170:18180/TV00000000000000000008@HHZT
凤凰卫视中文台,http://218.104.239.114:9901/tsfile/live/1013_1.m3u8?key=txiptv
凤凰卫视中文台,http://219.145.93.74:10000/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视资讯台,http://115.44.140.170:18180/TV00000000000000000009@HHZT
凤凰卫视资讯台,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视香港台,http://115.44.140.170:18180/TV00000000000000000024@HHZT
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8
湖南卫视,http://124.116.183.146:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://39.165.39.49:85/tsfile/live/1127_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://120.76.248.139/live/bfgd/4200000094.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
东方卫视,http://222.94.115.176:52343/651632648
北京卫视,http://39.165.39.49:85/tsfile/live/1130_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
北京卫视,http://222.94.115.176:52343/630287636
北京卫视,http://110.154.192.30:7788/630287636
北京卫视,http://124.223.82.228:89/630287636
江苏卫视,http://39.165.39.49:85/tsfile/live/1129_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
江苏卫视,http://222.94.115.176:52343/623899368
江苏卫视,http://110.154.192.30:7788/623899368
江苏卫视,http://223.247.25.217:1234/623899368
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
安徽卫视,http://124.116.183.146:9901/tsfile/live/0130_1.m3u8
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
重庆卫视,http://222.94.115.176:52343/738910914
重庆卫视,http://110.154.192.30:7788/738910914
重庆卫视,http://116.52.173.144:1234/738910914
重庆卫视,http://223.247.25.217:1234/738910914
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
四川卫视,http://116.128.243.121:9905/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
